# Time 1/2<111>_Density <100>_Density <110>_Density Total_Density
0.000000e+00 1.360775e+16 2.427592e+15 0.000000e+00 1.603534e+16
2.000000e+01 1.212634e+16 2.660158e+15 0.000000e+00 1.478650e+16
4.000000e+01 1.188949e+16 2.671635e+15 1.518598e+13 1.457631e+16
6.000000e+01 1.257023e+16 2.485783e+15 0.000000e+00 1.505602e+16
8.000000e+01 1.196354e+16 2.840295e+15 0.000000e+00 1.480383e+16
1.000000e+02 1.163845e+16 2.887205e+15 0.000000e+00 1.452565e+16
1.200000e+02 1.160518e+16 2.856377e+15 0.000000e+00 1.446155e+16
1.400000e+02 1.160444e+16 2.882073e+15 0.000000e+00 1.448652e+16
1.600000e+02 1.165988e+16 2.868655e+15 0.000000e+00 1.452854e+16
1.800000e+02 1.151652e+16 2.841852e+15 0.000000e+00 1.435837e+16
2.000000e+02 1.072695e+16 3.118393e+15 0.000000e+00 1.384535e+16
2.200000e+02 1.102340e+16 3.292846e+15 0.000000e+00 1.431625e+16
2.400000e+02 1.071668e+16 3.134195e+15 0.000000e+00 1.385088e+16
2.600000e+02 1.065952e+16 3.141410e+15 0.000000e+00 1.380093e+16
2.800000e+02 1.060415e+16 3.042313e+15 0.000000e+00 1.364646e+16
3.000000e+02 1.030577e+16 2.885076e+15 0.000000e+00 1.319085e+16
3.200000e+02 1.019016e+16 2.888615e+15 0.000000e+00 1.307877e+16
3.400000e+02 1.017843e+16 2.921748e+15 0.000000e+00 1.310018e+16
3.600000e+02 1.019204e+16 2.974348e+15 0.000000e+00 1.316639e+16
3.800000e+02 1.026280e+16 2.933035e+15 0.000000e+00 1.319583e+16
4.000000e+02 1.026376e+16 2.928034e+15 0.000000e+00 1.319180e+16
4.200000e+02 1.004091e+16 2.877704e+15 0.000000e+00 1.291862e+16
4.400000e+02 1.057289e+16 2.829028e+15 0.000000e+00 1.340192e+16
4.600000e+02 1.130322e+16 2.986282e+15 1.785056e+13 1.430735e+16
4.800000e+02 1.127883e+16 2.951312e+15 1.960394e+13 1.424975e+16
5.000000e+02 1.094930e+16 3.463592e+15 0.000000e+00 1.441290e+16
5.200000e+02 1.030970e+16 3.786915e+15 0.000000e+00 1.409662e+16
5.400000e+02 1.088696e+16 3.774153e+15 0.000000e+00 1.466111e+16
5.600000e+02 1.039877e+16 3.938506e+15 0.000000e+00 1.433727e+16
5.800000e+02 9.313836e+15 3.973085e+15 0.000000e+00 1.328692e+16
6.000000e+02 9.664469e+15 3.747043e+15 0.000000e+00 1.341151e+16
