# Time 1/2<111>_Density <100>_Density <110>_Density Total_Density
0.000000e+00 1.360775e+16 2.427592e+15 0.000000e+00 1.603534e+16
1.000000e+00 1.364033e+16 2.408894e+15 0.000000e+00 1.604923e+16
2.000000e+00 1.388980e+16 2.401474e+15 0.000000e+00 1.629128e+16
3.000000e+00 1.422243e+16 2.346030e+15 0.000000e+00 1.656846e+16
4.000000e+00 1.420351e+16 2.290728e+15 0.000000e+00 1.649424e+16
5.000000e+00 1.407617e+16 2.335514e+15 0.000000e+00 1.641169e+16
6.000000e+00 1.404668e+16 2.440814e+15 0.000000e+00 1.648749e+16
7.000000e+00 1.387816e+16 2.486082e+15 0.000000e+00 1.636424e+16
8.000000e+00 1.395562e+16 2.440382e+15 0.000000e+00 1.639600e+16
9.000000e+00 1.402185e+16 2.405639e+15 0.000000e+00 1.642749e+16
1.000000e+01 1.380309e+16 2.354787e+15 0.000000e+00 1.615787e+16
1.100000e+01 1.360839e+16 2.352299e+15 7.862598e+12 1.596855e+16
1.200000e+01 1.356647e+16 2.425255e+15 0.000000e+00 1.599173e+16
1.300000e+01 1.337726e+16 2.416824e+15 0.000000e+00 1.579409e+16
1.400000e+01 1.343718e+16 2.356285e+15 0.000000e+00 1.579346e+16
1.500000e+01 1.327189e+16 2.436782e+15 0.000000e+00 1.570867e+16
1.600000e+01 1.313054e+16 2.510530e+15 0.000000e+00 1.564107e+16
1.700000e+01 1.337752e+16 2.446260e+15 0.000000e+00 1.582378e+16
1.800000e+01 1.310713e+16 2.525847e+15 0.000000e+00 1.563298e+16
1.900000e+01 1.312731e+16 2.519654e+15 0.000000e+00 1.564696e+16
2.000000e+01 1.308829e+16 2.593933e+15 0.000000e+00 1.568222e+16
2.100000e+01 1.320459e+16 2.610638e+15 0.000000e+00 1.581523e+16
2.200000e+01 1.344184e+16 2.539736e+15 0.000000e+00 1.598157e+16
2.300000e+01 1.365081e+16 2.520913e+15 0.000000e+00 1.617172e+16
2.400000e+01 1.384657e+16 2.486624e+15 0.000000e+00 1.633319e+16
2.500000e+01 1.381501e+16 2.408901e+15 0.000000e+00 1.622391e+16
2.600000e+01 1.388412e+16 2.447807e+15 0.000000e+00 1.633192e+16
2.700000e+01 1.392295e+16 2.455374e+15 0.000000e+00 1.637832e+16
2.800000e+01 1.395840e+16 2.488799e+15 0.000000e+00 1.644720e+16
2.900000e+01 1.407203e+16 2.605030e+15 0.000000e+00 1.667706e+16
3.000000e+01 1.394025e+16 2.747914e+15 0.000000e+00 1.668816e+16
3.100000e+01 1.398044e+16 2.796006e+15 0.000000e+00 1.677645e+16
3.200000e+01 1.409047e+16 2.841437e+15 0.000000e+00 1.693190e+16
3.300000e+01 1.397134e+16 2.881408e+15 0.000000e+00 1.685275e+16
3.400000e+01 1.371106e+16 3.000890e+15 0.000000e+00 1.671194e+16
3.500000e+01 1.379684e+16 3.071608e+15 0.000000e+00 1.686844e+16
3.600000e+01 1.376141e+16 3.155097e+15 0.000000e+00 1.691650e+16
3.700000e+01 1.345708e+16 3.361606e+15 0.000000e+00 1.681869e+16
3.800000e+01 1.336826e+16 3.426164e+15 0.000000e+00 1.679443e+16
3.900000e+01 1.324418e+16 3.462219e+15 0.000000e+00 1.670640e+16
4.000000e+01 1.303583e+16 3.545637e+15 0.000000e+00 1.658147e+16
4.100000e+01 1.285598e+16 3.673294e+15 0.000000e+00 1.652927e+16
4.200000e+01 1.300292e+16 3.595694e+15 1.216426e+13 1.661078e+16
4.300000e+01 1.280309e+16 3.563290e+15 0.000000e+00 1.636638e+16
4.400000e+01 1.287246e+16 3.574109e+15 0.000000e+00 1.644657e+16
4.500000e+01 1.291272e+16 3.565288e+15 0.000000e+00 1.647801e+16
4.600000e+01 1.293817e+16 3.602625e+15 0.000000e+00 1.654080e+16
4.700000e+01 1.301054e+16 3.567352e+15 0.000000e+00 1.657789e+16
4.800000e+01 1.299140e+16 3.627956e+15 0.000000e+00 1.661936e+16
4.900000e+01 1.302932e+16 3.693013e+15 0.000000e+00 1.672234e+16
5.000000e+01 1.315025e+16 3.600508e+15 0.000000e+00 1.675076e+16
5.100000e+01 1.317218e+16 3.597625e+15 0.000000e+00 1.676981e+16
5.200000e+01 1.323622e+16 3.558817e+15 0.000000e+00 1.679504e+16
5.300000e+01 1.331068e+16 3.629768e+15 0.000000e+00 1.694045e+16
5.400000e+01 1.350413e+16 3.657899e+15 0.000000e+00 1.716203e+16
5.500000e+01 1.362621e+16 3.677521e+15 0.000000e+00 1.730373e+16
5.600000e+01 1.365287e+16 3.743528e+15 0.000000e+00 1.739640e+16
5.700000e+01 1.394262e+16 3.591267e+15 1.679459e+13 1.755068e+16
5.800000e+01 1.406233e+16 3.547503e+15 2.364614e+13 1.763348e+16
5.900000e+01 1.407789e+16 3.603219e+15 0.000000e+00 1.768111e+16
6.000000e+01 1.427023e+16 3.500793e+15 0.000000e+00 1.777102e+16
6.100000e+01 1.412475e+16 3.507567e+15 0.000000e+00 1.763232e+16
6.200000e+01 1.427793e+16 3.542833e+15 0.000000e+00 1.782077e+16
6.300000e+01 1.412785e+16 3.456140e+15 0.000000e+00 1.758399e+16
6.400000e+01 1.402531e+16 3.514016e+15 0.000000e+00 1.753933e+16
6.500000e+01 1.416276e+16 3.512587e+15 0.000000e+00 1.767534e+16
6.600000e+01 1.436122e+16 3.563095e+15 0.000000e+00 1.792431e+16
6.700000e+01 1.432220e+16 3.591498e+15 0.000000e+00 1.791369e+16
6.800000e+01 1.419950e+16 3.535354e+15 0.000000e+00 1.773485e+16
6.900000e+01 1.430092e+16 3.623355e+15 0.000000e+00 1.792428e+16
7.000000e+01 1.451829e+16 3.603035e+15 0.000000e+00 1.812132e+16
7.100000e+01 1.470489e+16 3.666312e+15 1.758358e+13 1.838879e+16
7.200000e+01 1.463528e+16 3.782344e+15 0.000000e+00 1.841762e+16
7.300000e+01 1.466512e+16 3.704392e+15 0.000000e+00 1.836951e+16
7.400000e+01 1.476794e+16 3.611961e+15 0.000000e+00 1.837990e+16
7.500000e+01 1.517975e+16 3.403234e+15 0.000000e+00 1.858299e+16
7.600000e+01 1.548745e+16 3.297063e+15 0.000000e+00 1.878452e+16
7.700000e+01 1.553038e+16 3.161313e+15 0.000000e+00 1.869169e+16
7.800000e+01 1.559539e+16 3.095814e+15 0.000000e+00 1.869121e+16
7.900000e+01 1.563492e+16 3.160901e+15 0.000000e+00 1.879582e+16
8.000000e+01 1.594392e+16 3.072312e+15 0.000000e+00 1.901623e+16
8.100000e+01 1.592661e+16 3.081585e+15 0.000000e+00 1.900819e+16
8.200000e+01 1.602955e+16 3.052501e+15 1.146208e+13 1.909351e+16
8.300000e+01 1.636994e+16 2.976642e+15 0.000000e+00 1.934658e+16
8.400000e+01 1.672096e+16 3.020902e+15 0.000000e+00 1.974187e+16
8.500000e+01 1.657909e+16 3.041010e+15 1.902817e+13 1.963913e+16
8.600000e+01 1.647626e+16 3.083583e+15 0.000000e+00 1.955985e+16
8.700000e+01 1.671989e+16 2.973718e+15 0.000000e+00 1.969360e+16
8.800000e+01 1.684192e+16 2.986113e+15 0.000000e+00 1.982803e+16
8.900000e+01 1.672196e+16 3.120558e+15 0.000000e+00 1.984251e+16
9.000000e+01 1.680335e+16 3.176339e+15 0.000000e+00 1.997969e+16
9.100000e+01 1.683590e+16 3.150005e+15 0.000000e+00 1.998590e+16
9.200000e+01 1.688645e+16 3.228116e+15 0.000000e+00 2.011456e+16
9.300000e+01 1.711280e+16 3.205926e+15 0.000000e+00 2.031872e+16
9.400000e+01 1.713729e+16 3.272625e+15 0.000000e+00 2.040991e+16
9.500000e+01 1.734850e+16 3.256113e+15 0.000000e+00 2.060462e+16
9.600000e+01 1.754858e+16 3.191719e+15 0.000000e+00 2.074030e+16
9.700000e+01 1.752458e+16 3.308516e+15 0.000000e+00 2.083309e+16
9.800000e+01 1.768309e+16 3.333268e+15 0.000000e+00 2.101636e+16
9.900000e+01 1.796731e+16 3.280756e+15 0.000000e+00 2.124807e+16
1.000000e+02 1.811122e+16 3.275459e+15 0.000000e+00 2.138668e+16
1.010000e+02 1.821314e+16 3.353654e+15 0.000000e+00 2.156679e+16
1.020000e+02 1.805106e+16 3.485273e+15 0.000000e+00 2.153633e+16
1.030000e+02 1.823200e+16 3.461659e+15 0.000000e+00 2.169365e+16
1.040000e+02 1.845414e+16 3.445423e+15 0.000000e+00 2.189956e+16
1.050000e+02 1.845481e+16 3.445438e+15 0.000000e+00 2.190024e+16
1.060000e+02 1.873111e+16 3.437654e+15 0.000000e+00 2.216877e+16
1.070000e+02 1.869815e+16 3.574317e+15 0.000000e+00 2.227247e+16
1.080000e+02 1.889351e+16 3.700911e+15 0.000000e+00 2.259442e+16
1.090000e+02 1.911400e+16 3.625759e+15 0.000000e+00 2.273976e+16
1.100000e+02 1.937804e+16 3.522346e+15 0.000000e+00 2.290039e+16
1.110000e+02 1.919496e+16 3.676413e+15 0.000000e+00 2.287137e+16
1.120000e+02 1.861681e+16 3.697907e+15 0.000000e+00 2.231472e+16
1.130000e+02 1.866854e+16 3.603881e+15 1.087952e+13 2.228330e+16
1.140000e+02 1.870354e+16 3.676183e+15 0.000000e+00 2.237972e+16
1.150000e+02 1.896529e+16 3.620893e+15 1.480855e+13 2.260099e+16
1.160000e+02 1.901613e+16 3.485462e+15 0.000000e+00 2.250159e+16
1.170000e+02 1.909432e+16 3.591005e+15 0.000000e+00 2.268532e+16
1.180000e+02 1.927318e+16 3.584336e+15 1.215861e+13 2.286968e+16
1.190000e+02 1.957588e+16 3.464571e+15 1.786636e+13 2.305832e+16
1.200000e+02 1.974191e+16 3.388801e+15 0.000000e+00 2.313071e+16
1.210000e+02 2.009580e+16 3.324573e+15 1.410766e+13 2.343448e+16
1.220000e+02 2.022995e+16 3.278862e+15 2.107198e+13 2.352989e+16
1.230000e+02 2.022896e+16 3.397580e+15 1.995417e+13 2.364650e+16
1.240000e+02 2.053491e+16 3.344573e+15 1.810365e+13 2.389759e+16
1.250000e+02 2.073863e+16 3.430565e+15 0.000000e+00 2.416919e+16
1.260000e+02 2.111778e+16 3.434219e+15 0.000000e+00 2.455200e+16
1.270000e+02 2.141163e+16 3.366707e+15 0.000000e+00 2.477834e+16
